state,avg_aqi_2024,population_2024
Andhra Pradesh,73.01112877583466,59697
Arunachal Pradesh,58.07692307692308,1230
Assam,108.6990099009901,17048
Bihar,135.7260947274352,47978
Chandigarh,151.7568306010929,3740
Chhattisgarh,75.6909242994563,25302
Delhi,208.9344262295082,65409
Gujarat,101.6470588235294,107580
Haryana,131.1158355881974,39452
Himachal Pradesh,166.45098039215685,2333
Jharkhand,154.62637362637363,31774
Karnataka,59.87420269312544,92204
Kerala,64.7717019822283,84176
Madhya Pradesh,107.02759871071716,76855
Maharashtra,99.16724436741768,187218
Manipur,108.63879598662207,3206
Meghalaya,74.86666666666666,2105
Mizoram,46.39204545454545,2079
Nagaland,82.26363636363637,3234
Odisha,117.18980275400074,26688
Puducherry,54.63323782234957,3577
Punjab,118.07112068965517,39320
Rajasthan,125.64286331059493,66057
Sikkim,47.70036101083033,1082
Tamil Nadu,61.278759057971016,125609
Telangana,76.78688524590164,55928
Tripura,139.8984126984127,5119
Uttar Pradesh,120.50119097660081,173474
Uttarakhand,93.48596321393998,12913
West Bengal,118.05755395683454,111678
